TIME MEMORY
1690513076 12288
1690513077 420192
1690513078 473568
1690513079 722636
1690513080 768076
1690513081 1025968
1690513082 1063088
1690513083 1305468
1690513084 1358972
1690513085 1603660
1690513086 1653580
1690513087 1896724
1690513088 2171996
1690513089 2195036
1690513090 2461244
1690513091 2497596
1690513092 2751236
1690513093 2796292
1690513094 3040592
1690513095 3092688
1690513096 3170492
1690513097 3190156
1690513098 3212300
1690513099 3233848
1690513100 3233848
1690513101 3281764
1690513102 3239012
1690513103 3231140
1690513104 3479600
1690513105 3635024
1690513106 3727020
1690513107 3684324
1690513108 3684328
1690513109 3942404
1690513110 3997424
1690513111 4138064
1690513112 4257016
1690513113 4253584
1690513114 4265872
1690513115 4314732
1690513116 4311340
1690513117 4365796
1690513119 4426812
1690513120 4407312
1690513121 4407436
1690513122 4420364
1690513123 4553788
1690513124 4551484
1690513125 4600212
1690513126 4587540
1690513127 4574364
1690513128 4617092
1690513129 4611552
1690513130 4622256
1690513131 4707440
1690513132 4670140
1690513133 4715192
1690513134 4744332
1690513135 4761832
1690513136 4725572
1690513137 4767828
1690513138 4806952
1690513139 4853504
1690513140 4819176
1690513141 4835920
1690513142 4901456
1690513143 4950948
1690513144 4919948
1690513145 4876964
1690513146 4308644
